ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,TotalSpent,TotalPurchases,AvgPurchaseValue,Age,CustomerTenure,HasKids,WebVisitToPurchaseRatio,PremiumProductRatio,CampaignScore,Cluster,Segment
387,1976,Basic,Married,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,61,6,10.166666666666666,38,778,0,4.0,0.2786885245901639,0,0,High Engagement
2125,1959,Graduation,Divorced,63033.0,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1102,16,68.875,55,411,0,0.6666666666666666,0.6116152450090744,0,2,Medium Engagement
8180,1952,Master,Divorced,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,310,15,20.666666666666668,62,411,1,1.0,0.9225806451612903,0,2,Medium Engagement
2569,1987,Graduation,Married,17323.0,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,46,5,9.2,27,812,0,8.0,0.43478260869565216,0,0,High Engagement
2114,1946,PhD,Single,82800.0,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1315,26,50.57692307692308,68,767,0,0.42857142857142855,0.8524714828897338,2,1,Low Engagement
9736,1980,Graduation,Married,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,96,9,10.666666666666666,34,737,1,2.6666666666666665,0.75,0,0,High Engagement
4939,1946,Graduation,Together,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,317,13,24.384615384615383,68,852,0,1.75,0.38485804416403785,0,0,High Engagement
6565,1949,Master,Married,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1782,26,68.53846153846153,65,643,1,0.45454545454545453,0.8473625140291807,1,1,Low Engagement
2278,1985,2n Cycle,Single,33812.0,1,0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,133,8,16.625,29,788,1,3.0,0.17293233082706766,0,0,High Engagement
9360,1982,Graduation,Married,37040.0,0,0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,316,12,26.333333333333332,32,875,0,2.0,0.5031645569620253,0,0,High Engagement
5376,1979,Graduation,Married,2447.0,1,0,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1730,43,40.23255813953488,35,724,1,1.0,0.9976878612716763,0,2,Medium Engagement
1993,1949,PhD,Married,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,972,17,57.1764705882353,65,738,1,4.0,0.9804526748971193,1,2,Medium Engagement
4047,1954,PhD,Married,65324.0,0,1,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,544,20,27.2,60,354,1,0.6666666666666666,0.8933823529411765,0,2,Medium Engagement
1409,1951,Graduation,Together,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,444,20,22.2,63,653,1,1.1428571428571428,0.668918918918919,0,2,Medium Engagement
7892,1969,Graduation,Single,18589.0,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,75,8,9.375,45,728,0,3.5,0.41333333333333333,0,0,High Engagement
2404,1976,Graduation,Married,53359.0,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,257,14,18.357142857142858,38,583,1,1.4,0.7898832684824902,0,0,High Engagement
5255,1986,Graduation,Single,,1,0,20-02-2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,637,27,23.59259259259259,28,679,1,0.037037037037037035,0.012558869701726845,0,2,Medium Engagement
9422,1989,Graduation,Married,38360.0,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,131,9,14.555555555555555,25,579,1,1.5,0.5954198473282443,0,0,High Engagement
1966,1965,PhD,Married,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1672,26,64.3076923076923,49,404,0,0.3333333333333333,0.8881578947368421,1,1,Low Engagement
6864,1989,Master,Divorced,10979.0,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,30,8,3.75,25,223,0,1.6666666666666667,0.6,0,0,High Engagement
3033,1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,11,28.90909090909091,51,599,0,1.5,0.49056603773584906,0,2,Medium Engagement
5710,1970,Graduation,Together,40548.0,0,1,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,120,9,13.333333333333334,44,812,1,2.5,0.9583333333333334,1,0,High Engagement
7373,1952,PhD,Divorced,46610.0,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,302,17,17.764705882352942,62,793,1,1.5,0.6357615894039735,0,2,Medium Engagement
8755,1946,Master,Married,68657.0,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,1196,18,66.44444444444444,68,679,0,2.3333333333333335,0.7968227424749164,0,2,Medium Engagement
10738,1951,Master,Single,49389.0,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,65,6,10.833333333333334,63,489,1,3.5,0.9076923076923077,0,0,High Engagement
4339,1970,PhD,Married,67353.0,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,913,28,32.607142857142854,44,365,1,0.4,0.9342825848849945,0,2,Medium Engagement
10755,1976,2n Cycle,Married,23718.0,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,81,9,9.0,38,485,1,2.3333333333333335,0.24691358024691357,0,0,High Engagement
8595,1973,Graduation,Widow,42429.0,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,67,7,9.571428571428571,41,323,1,5.0,0.9104477611940298,0,0,High Engagement
2968,1943,PhD,Divorced,48948.0,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,902,24,37.583333333333336,71,698,0,0.8571428571428571,0.7128603104212861,1,2,Medium Engagement
8601,1980,Graduation,Married,80011.0,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,1395,21,66.42857142857143,34,611,1,0.5,0.6860215053763441,0,2,Medium Engagement
503,1985,Master,Married,20559.0,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,53,7,7.571428571428571,29,659,1,4.0,0.7924528301886793,0,0,High Engagement
8430,1957,Graduation,Together,21994.0,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,22,4,5.5,57,737,1,5.0,0.6818181818181818,0,0,High Engagement
7281,1959,PhD,Single,,0,0,05-11-2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,186,9,20.666666666666668,55,421,0,2.0,0.7043010752688172,0,2,Medium Engagement
2139,1975,Master,Married,7500.0,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,31,8,3.875,39,455,1,2.5,0.41935483870967744,0,0,High Engagement
1371,1976,Graduation,Single,79941.0,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,984,16,61.5,38,186,0,0.5,0.3953252032520325,0,2,Medium Engagement
9909,1996,2n Cycle,Married,7500.0,0,0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,122,10,12.2,18,782,0,3.0,0.13934426229508196,0,0,High Engagement
7286,1968,Graduation,Together,41728.0,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,55,5,11.0,46,586,1,5.0,0.509090909090909,0,0,High Engagement
7244,1951,Graduation,Single,,2,1,01-01-2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,124,10,12.4,63,364,1,3.0,0.7741935483870968,0,0,High Engagement
6566,1954,PhD,Married,72550.0,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,1319,28,47.107142857142854,60,783,1,1.6,0.866565579984837,0,2,Medium Engagement
8614,1957,Graduation,Widow,65486.0,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,507,17,29.823529411764707,57,233,1,0.5,0.7297830374753451,0,2,Medium Engagement
4114,1964,Master,Married,79143.0,0,0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,1693,29,58.37931034482759,50,872,0,0.5,0.8446544595392794,0,2,Medium Engagement
1331,1977,Graduation,Single,35790.0,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,72,7,10.285714285714286,37,728,1,3.5,0.4444444444444444,0,0,High Engagement
2225,1977,Graduation,Divorced,82582.0,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,1617,21,77.0,37,207,0,0.25,0.655534941249227,2,1,Low Engagement
9381,1978,Graduation,Married,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,606,23,26.347826086956523,36,567,1,0.75,0.7458745874587459,0,2,Medium Engagement
6260,1955,Master,Together,82384.0,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1957,27,72.48148148148148,59,772,0,0.3333333333333333,0.7235564639754727,1,1,Low Engagement
10383,1966,Graduation,Divorced,70287.0,0,0,02-04-2013,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,1093,21,52.04761904761905,48,638,0,0.6,0.7108874656907593,0,2,Medium Engagement
7437,1988,Graduation,Single,27938.0,1,0,28-04-2014,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,29,6,4.833333333333333,26,247,1,3.0,0.7241379310344828,0,0,High Engagement
8557,1982,Graduation,Single,,1,0,17-06-2013,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,46,7,6.571428571428571,32,562,1,3.0,0.717391304347826,0,0,High Engagement
8375,1968,PhD,Married,55954.0,0,1,03-03-2014,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,518,19,27.263157894736842,46,303,1,0.875,0.916988416988417,0,2,Medium Engagement
6853,1982,Master,Single,75777.0,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1438,21,68.47619047619048,32,545,0,0.3333333333333333,0.8692628650904033,2,1,Low Engagement
3076,1975,Graduation,Together,66653.0,1,1,07-09-2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,612,22,27.818181818181817,39,845,1,0.75,0.9052287581699346,0,2,Medium Engagement
1012,1952,Graduation,Single,61823.0,0,1,18-02-2013,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,884,24,36.833333333333336,62,681,1,0.875,0.7432126696832579,0,2,Medium Engagement
6518,1951,PhD,Widow,67680.0,0,1,11-06-2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,606,19,31.894736842105264,63,568,1,0.7142857142857143,0.9801980198019802,0,2,Medium Engagement
4137,1948,Graduation,Together,70666.0,0,0,06-12-2013,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,1076,16,67.25,66,390,0,0.5714285714285714,0.7109665427509294,0,2,Medium Engagement
8082,1971,Graduation,Married,25721.0,1,0,21-05-2013,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,34,5,6.8,43,589,1,7.0,0.20588235294117646,0,0,High Engagement
1386,1967,Graduation,Together,32474.0,1,1,11-05-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,11,4,2.75,47,234,1,7.0,1.0,0,0,High Engagement
9369,1979,2n Cycle,Single,88194.0,0,1,19-03-2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,1274,32,39.8125,35,287,1,0.45454545454545453,0.782574568288854,2,1,Low Engagement
4477,1958,Graduation,Together,69096.0,0,1,27-09-2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,653,18,36.27777777777778,56,460,1,0.8,0.6217457886676876,0,2,Medium Engagement
1357,1970,Graduation,Together,74854.0,1,2,08-04-2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,1562,19,82.21052631578948,44,632,1,2.5,0.8597951344430218,0,2,Medium Engagement
1402,1954,Master,Married,66991.0,0,0,11-09-2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,1253,21,59.666666666666664,60,841,0,0.75,0.7629688747007183,0,2,Medium Engagement
10629,1973,2n Cycle,Married,,1,0,14-09-2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,109,9,12.11111111111111,41,838,1,2.6666666666666665,0.6238532110091743,0,0,High Engagement
6312,1959,Graduation,Married,65031.0,0,1,17-03-2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,863,30,28.766666666666666,55,654,1,0.7,0.6361529548088065,0,2,Medium Engagement
8132,1975,PhD,Married,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,661,24,27.541666666666668,39,635,1,0.7777777777777778,0.9531013615733737,1,2,Medium Engagement
1050,1952,Graduation,Married,28332.0,0,0,30-04-2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,65,8,8.125,62,245,0,1.0,0.4153846153846154,0,0,High Engagement
5846,1977,Graduation,Divorced,40246.0,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,13,4,3.25,37,742,1,6.0,0.6153846153846154,0,0,High Engagement
1859,1972,Master,Married,75251.0,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1890,19,99.47368421052632,42,856,0,0.7142857142857143,0.870899470899471,0,2,Medium Engagement
7503,1976,Graduation,Single,75825.0,0,0,12-10-2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2209,22,100.4090909090909,38,810,0,0.8,0.8198279764599367,1,1,Low Engagement
10401,1976,2n Cycle,Together,26326.0,0,0,04-09-2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,18,4,4.5,38,483,0,3.0,0.3333333333333333,0,0,High Engagement
1618,1965,Graduation,Together,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,692,21,32.95238095238095,49,728,0,0.8,0.9263005780346821,1,2,Medium Engagement
3332,1985,Graduation,Single,29760.0,1,0,29-08-2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,165,12,13.75,29,854,1,2.6666666666666665,0.8,0,0,High Engagement
2261,1969,Graduation,Married,26304.0,1,0,23-06-2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,16,4,4.0,45,556,1,7.0,0.5625,0,0,High Engagement
5346,1973,2n Cycle,Married,23559.0,1,0,03-07-2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,79,9,8.777777777777779,41,546,1,2.3333333333333335,0.5569620253164557,0,0,High Engagement
4119,1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318,11,28.90909090909091,51,599,0,1.5,0.49056603773584906,0,2,Medium Engagement
535,1987,Graduation,Divorced,81361.0,0,0,25-02-2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,778,27,28.814814814814813,27,309,0,0.3333333333333333,0.7544987146529563,0,2,Medium Engagement
5268,1960,Graduation,Married,29440.0,1,1,11-08-2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,56,7,8.0,54,507,1,7.0,0.5535714285714286,0,0,High Engagement
273,1970,Master,Married,36138.0,1,1,16-07-2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,151,13,11.615384615384615,44,533,1,2.3333333333333335,0.9668874172185431,1,0,High Engagement
4452,1957,Graduation,Single,50388.0,0,1,28-05-2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,372,17,21.88235294117647,57,217,1,1.1666666666666667,0.8844086021505376,2,1,Low Engagement
8504,1973,Graduation,Married,79593.0,0,0,12-05-2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1366,19,71.89473684210526,41,233,0,0.4,0.6720351390922401,1,1,Low Engagement
771,1967,Graduation,Together,54178.0,0,1,21-01-2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,194,10,19.4,47,344,1,1.0,0.8969072164948454,0,2,Medium Engagement
8996,1957,PhD,Married,,2,1,19-11-2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,603,29,20.79310344827586,57,772,1,1.2857142857142858,0.6998341625207297,0,2,Medium Engagement
9235,1957,Graduation,Single,,1,1,27-05-2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,18,4,4.5,57,218,1,7.0,0.8333333333333334,0,0,High Engagement
5798,1973,Master,Together,,0,0,23-11-2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,985,15,65.66666666666667,41,403,0,0.5,0.8162436548223351,0,2,Medium Engagement
11178,1972,Master,Single,42394.0,1,0,23-03-2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,32,5,6.4,42,283,1,7.0,0.78125,0,0,High Engagement
2230,1970,PhD,Married,23626.0,1,0,24-05-2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,43,10,4.3,44,221,1,1.6666666666666667,0.9534883720930233,0,0,High Engagement
7516,1983,Graduation,Married,30096.0,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,45,6,7.5,31,223,1,3.0,0.35555555555555557,0,0,High Engagement
7247,1960,Graduation,Widow,47916.0,0,1,22-11-2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,606,22,27.545454545454547,54,769,1,0.8571428571428571,0.8762376237623762,1,2,Medium Engagement
11100,1972,Graduation,Divorced,51813.0,1,1,11-04-2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,63,7,9.0,42,629,1,3.5,0.9206349206349206,0,0,High Engagement
4646,1951,2n Cycle,Married,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,978,25,39.12,63,395,0,0.4,0.6687116564417178,1,2,Medium Engagement
3037,1983,PhD,Married,50150.0,0,0,20-06-2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,410,16,25.625,31,559,0,1.0,0.5536585365853659,0,2,Medium Engagement
1473,1960,2n Cycle,Single,47823.0,0,1,23-07-2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,72,7,10.285714285714286,54,526,1,4.0,0.8055555555555556,0,0,High Engagement
1016,1959,PhD,Single,34554.0,0,1,30-03-2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,55,7,7.857142857142857,55,276,1,3.0,0.8545454545454545,0,0,High Engagement
4518,1979,Graduation,Together,85693.0,0,1,20-04-2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,1169,27,43.2962962962963,35,620,1,0.5555555555555556,0.48674080410607357,0,2,Medium Engagement
9370,1945,PhD,Married,65846.0,0,0,17-05-2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,1120,16,70.0,69,593,0,0.6666666666666666,0.7482142857142857,0,2,Medium Engagement
8908,1959,Graduation,Married,87195.0,0,0,08-05-2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,1097,20,54.85,55,237,0,0.3333333333333333,0.8268003646308113,0,2,Medium Engagement
8373,1979,Basic,Together,24594.0,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,29,5,5.8,35,386,1,5.0,0.2413793103448276,0,0,High Engagement
7533,1964,Graduation,Married,49096.0,1,1,24-09-2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,187,13,14.384615384615385,50,463,1,1.75,0.9411764705882353,0,2,Medium Engagement
2683,1969,Graduation,Married,52413.0,0,2,02-02-2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,910,26,35.0,45,697,1,1.0,0.621978021978022,0,2,Medium Engagement
3629,1978,Graduation,Single,38557.0,1,0,19-12-2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,145,9,16.11111111111111,36,742,1,2.3333333333333335,0.7379310344827587,0,0,High Engagement
10991,1960,Master,Married,89058.0,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,850,14,60.714285714285715,54,754,0,0.4,0.6588235294117647,0,2,Medium Engagement
5077,1979,Graduation,Together,77298.0,0,1,02-11-2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,969,24,40.375,35,424,1,0.5,0.739938080495356,0,2,Medium Engagement
7431,1991,PhD,Single,68126.0,0,0,10-11-2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,1820,17,107.05882352941177,23,781,0,1.2857142857142858,0.9027472527472528,1,1,Low Engagement
3267,1963,Master,Together,57288.0,0,1,25-06-2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,608,20,30.4,51,189,1,0.75,0.9013157894736842,1,2,Medium Engagement
999,1991,Graduation,Single,86037.0,0,0,02-01-2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,730,25,29.2,23,728,0,0.5,0.8424657534246576,2,1,Low Engagement
9215,1980,PhD,Married,43974.0,1,0,12-12-2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,551,21,26.238095238095237,34,749,1,1.1666666666666667,0.8693284936479129,0,2,Medium Engagement
2286,1962,Graduation,Single,50785.0,1,1,10-09-2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,114,8,14.25,52,477,1,3.0,0.7456140350877193,0,0,High Engagement
1592,1970,Graduation,Married,90765.0,0,0,24-01-2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1724,15,114.93333333333334,44,341,0,0.25,0.7882830626450116,2,1,Low Engagement
367,1978,2n Cycle,Married,36550.0,1,0,19-02-2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,577,20,28.85,36,680,1,1.0,0.24436741767764297,0,0,High Engagement
